name,income_ineq,year,unemployment_rate,total_year_mob,same_county_mob,diff_county_mob,diff_state_mob,from_abroad_mob,mobility,mediangross_rent_income,city,firms,estab,estab_prev,estab_change,percent_change,emp
Fresno,0.4743,2011,18.5,493749,16.4,3.2,0.7,0.3,4.2,35.8,"Fresno, CA Metro Area",12047,14488,14563.0,-75.0,-0.515003777,228670
Denver,0.5038,2011,9.5,610005,10.3,8.7,4.0,1.2,13.899999999999999,29.7,"Dallas-Fort Worth-Arlington, TX Metro Area",97724,130288,129361.0,927.0,0.716599284,2624497
Washington,0.5338,2011,11.4,611608,10.9,0.0,7.9,1.2,9.1,29.7,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",98949,129191,127848.0,1343.0,1.050466179,2449446
Boston,0.5413,2011,11.6,618046,12.0,4.4,4.4,2.2,11.0,31.7,"Boston-Cambridge-Newton, MA-NH Metro Area",88468,111257,110862.0,395.0,0.356298822,2288015
Detroit,0.4956,2011,29.3,696759,11.5,1.5,1.0,0.4,2.9,46.2,"Denver-Aurora-Lakewood, CO Metro Area",52117,64877,64525.0,352.0,0.54552499,1098749
Memphis,0.5021,2011,14.5,643966,17.5,0.7,2.5,0.4,3.6,36.1,"Memphis, TN-MS-AR Metro Area",17606,23903,24151.0,-248.0,-1.026872593,511654
Austin,0.4923,2011,8.3,809464,16.7,5.5,3.8,0.6,9.9,30.5,"Austin-Round Rock, TX Metro Area",30504,38385,37522.0,863.0,2.299984009,658853
Seattle,0.4905,2011,7.2,612350,14.5,2.2,4.7,1.2,8.1,29.4,"Seattle-Tacoma-Bellevue, WA Metro Area",68601,85556,85980.0,-424.0,-0.493137939,1395951
Milwaukee,0.4614,2011,15.8,589185,18.8,2.2,2.1,0.8,5.1000000000000005,35.4,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",27838,36220,36408.0,-188.0,-0.516370029,695793
Fresno,0.4863,2012,16.8,497408,15.7,2.9,0.9,0.3,4.1,37.8,"Fresno, CA Metro Area",12136,14570,14488.0,82.0,0.565985643,235565
Denver,0.5048,2012,7.2,624608,10.3,7.6,4.4,0.8,12.8,29.3,"Dallas-Fort Worth-Arlington, TX Metro Area",99864,132582,130288.0,2294.0,1.760714724,2701961
Washington,0.5343,2012,10.3,624847,9.9,0.0,8.6,1.4,10.0,29.3,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",100221,130068,129191.0,877.0,0.678839857,2489246
Boston,0.5405,2012,9.6,631408,10.3,4.2,4.5,2.1,10.799999999999999,30.3,"Boston-Cambridge-Newton, MA-NH Metro Area",89567,112213,111257.0,956.0,0.859271776,2337346
Detroit,0.5105,2012,27.7,692752,13.2,1.7,0.9,0.5,3.1,43.6,"Denver-Aurora-Lakewood, CO Metro Area",52909,65600,64877.0,723.0,1.114416511,1131276
Memphis,0.5078,2012,14.1,644689,14.8,1.0,3.0,0.5,4.5,37.0,"Memphis, TN-MS-AR Metro Area",17451,23683,23903.0,-220.0,-0.920386562,519588
Austin,0.4919,2012,7.1,831672,17.0,6.1,3.2,1.2,10.5,30.2,"Austin-Round Rock, TX Metro Area",31472,39464,38385.0,1079.0,2.810993878,686895
Seattle,0.4862,2012,5.9,626942,12.6,2.5,5.0,1.2,8.7,28.6,"Seattle-Tacoma-Bellevue, WA Metro Area",69149,85985,85556.0,429.0,0.501425967,1422680
Milwaukee,0.466,2012,13.1,590189,17.0,1.9,1.5,0.4,3.8,36.6,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",27927,36311,36220.0,91.0,0.251242408,718389
Fresno,0.4831,2013,13.5,502698,14.9,2.7,0.5,0.7,3.9000000000000004,36.9,"Fresno, CA Metro Area",12191,14636,14570.0,66.0,0.452985587,243031
Denver,0.5094,2013,5.9,639929,10.1,5.6,4.0,0.5,10.1,30.6,"Dallas-Fort Worth-Arlington, TX Metro Area",101795,134892,132582.0,2310.0,1.742317962,2795570
Washington,0.532,2013,10.4,636535,10.8,0.0,7.3,1.7,9.0,29.8,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",101267,131749,130068.0,1681.0,1.292400898,2517068
Boston,0.5317,2013,8.1,638500,11.3,4.8,4.1,2.0,10.899999999999999,30.7,"Boston-Cambridge-Newton, MA-NH Metro Area",90206,113013,112213.0,800.0,0.712929874,2375687
Detroit,0.5127,2013,25.3,679356,13.5,1.8,1.0,0.3,3.0999999999999996,42.6,"Denver-Aurora-Lakewood, CO Metro Area",53859,66638,65600.0,1038.0,1.582317073,1175843
Memphis,0.5243,2013,13.6,642845,15.7,0.7,2.7,0.4,3.8000000000000003,34.6,"Memphis, TN-MS-AR Metro Area",17423,23577,23683.0,-106.0,-0.447578432,525525
Austin,0.4822,2013,5.9,874143,14.0,5.5,3.1,1.3,9.9,30.3,"Austin-Round Rock, TX Metro Area",32590,40867,39464.0,1403.0,3.555138861,713630
Seattle,0.4852,2013,5.9,645335,14.5,2.5,5.4,1.1,9.0,28.2,"Seattle-Tacoma-Bellevue, WA Metro Area",70245,86948,85985.0,963.0,1.119962784,1465634
Milwaukee,0.465,2013,11.3,590337,15.5,1.9,1.9,0.6,4.3999999999999995,33.5,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",28360,36968,36311.0,657.0,1.809369062,748442
Fresno,0.4844,2014,11.9,508501,14.7,3.0,0.6,0.8,4.4,37.7,"Fresno, CA Metro Area",12347,14864,14636.0,228.0,1.557802678,247330
Denver,0.5063,2014,4.7,655069,11.3,7.6,4.2,1.0,12.8,30.1,"Dallas-Fort Worth-Arlington, TX Metro Area",104118,138530,134892.0,3638.0,2.696972393,2896689
Washington,0.5224,2014,8.9,648586,10.4,0.0,8.7,1.8,10.5,29.5,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",102455,134037,131749.0,2288.0,1.736635572,2541350
Boston,0.5508,2014,8.3,648438,9.7,3.6,4.4,2.2,10.2,31.1,"Boston-Cambridge-Newton, MA-NH Metro Area",90889,114204,113013.0,1191.0,1.05386106,2385749
Detroit,0.4947,2014,21.6,670586,13.3,2.4,0.9,0.3,3.5999999999999996,40.0,"Denver-Aurora-Lakewood, CO Metro Area",55154,68449,66638.0,1811.0,2.717668597,1230103
Memphis,0.5113,2014,10.1,649380,15.6,0.8,3.2,0.3,4.3,35.6,"Memphis, TN-MS-AR Metro Area",17376,23708,23577.0,131.0,0.555626246,528030
Fresno,0.4777,2015,10.9,510470,15.8,2.9,1.0,0.6,4.5,35.2,"Fresno, CA Metro Area",12424,15056,14864.0,192.0,1.291711518,256402
Denver,0.4927,2015,4.5,672556,8.6,5.8,4.6,0.9,11.299999999999999,28.5,"Dallas-Fort Worth-Arlington, TX Metro Area",106603,141470,138530.0,2940.0,2.122283982,3021557
Washington,0.5354,2015,7.3,663006,10.1,0.0,9.0,1.6,10.6,29.3,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",103833,135684,134037.0,1647.0,1.228765192,2577083
Boston,0.5455,2015,6.7,661446,9.3,4.1,3.8,1.8,9.7,31.6,"Boston-Cambridge-Newton, MA-NH Metro Area",91562,115158,114204.0,954.0,0.835347273,2452130
Detroit,0.5172,2015,20.6,668337,12.0,1.8,1.0,0.4,3.1999999999999997,38.5,"Denver-Aurora-Lakewood, CO Metro Area",56599,70246,68449.0,1797.0,2.625312276,1277826
Memphis,0.5101,2015,10.1,646507,13.1,0.9,2.9,0.5,4.3,32.9,"Memphis, TN-MS-AR Metro Area",17330,23696,23708.0,-12.0,-0.050615826,532441
Austin,0.4872,2015,4.2,919721,12.0,4.2,3.4,1.1,8.7,30.1,"Austin-Round Rock, TX Metro Area",35108,44066,42516.0,1550.0,3.64568633,787888
Austin,0.4872,2015,4.2,919721,12.0,4.2,3.4,1.1,8.7,29.1,"Austin-Round Rock, TX Metro Area",35108,44066,42516.0,1550.0,3.64568633,787888
Seattle,0.4757,2015,4.8,678243,15.2,1.9,5.4,1.4,8.700000000000001,28.4,"Seattle-Tacoma-Bellevue, WA Metro Area",72780,90481,88722.0,1759.0,1.982597326,1585592
Seattle,0.4757,2015,4.8,678243,15.2,1.9,5.4,1.4,8.700000000000001,27.8,"Seattle-Tacoma-Bellevue, WA Metro Area",72780,90481,88722.0,1759.0,1.982597326,1585592
Milwaukee,0.4719,2015,8.7,592277,13.9,2.2,1.8,0.6,4.6,34.4,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",29135,38497,37556.0,941.0,2.50559165,803590
Milwaukee,0.4719,2015,8.7,592277,13.9,2.2,1.8,0.6,4.6,33.1,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",29135,38497,37556.0,941.0,2.50559165,803590
Fresno,0.5059,2016,9.7,511751,14.2,2.7,0.6,0.4,3.7,36.8,"Fresno, CA Metro Area",12579,15268,15056.0,212.0,1.408076514,261290
Denver,0.5008,2016,4.3,683757,8.7,7.0,4.6,0.5,12.1,30.4,"Dallas-Fort Worth-Arlington, TX Metro Area",109382,145810,141470.0,4340.0,3.067788224,3127595
Washington,0.542,2016,6.9,672022,9.5,0.0,8.7,1.7,10.399999999999999,29.3,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",105510,138819,135684.0,3135.0,2.31051561,2627423
Boston,0.5381,2016,7.6,664168,10.8,4.2,4.4,2.3,10.900000000000002,30.2,"Boston-Cambridge-Newton, MA-NH Metro Area",93122,117721,115158.0,2563.0,2.225637819,2494762
Detroit,0.5036,2016,16.5,661751,12.1,2.5,1.2,0.4,4.1000000000000005,36.5,"Denver-Aurora-Lakewood, CO Metro Area",58187,72451,70246.0,2205.0,3.138968767,1320981
Memphis,0.5173,2016,8.5,644105,14.6,1.0,2.1,0.3,3.4,33.0,"Memphis, TN-MS-AR Metro Area",17417,23980,23696.0,284.0,1.198514517,544739
Austin,0.4821,2016,3.5,934294,11.1,4.4,3.1,1.1,8.6,29.1,"Austin-Round Rock, TX Metro Area",36549,46165,44066.0,2099.0,4.763309581,835517
Seattle,0.5035,2016,4.7,697460,14.3,1.9,5.3,1.6,8.799999999999999,28.0,"Seattle-Tacoma-Bellevue, WA Metro Area",74224,92528,90481.0,2047.0,2.262353422,1609208
Milwaukee,0.4844,2016,8.0,587264,15.7,1.9,2.0,0.4,4.3,32.0,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",29730,39572,38497.0,1075.0,2.792425384,843047
Fresno,0.4858,2017,9.2,520357,12.3,2.0,1.0,0.5,3.5,34.2,"Fresno, CA Metro Area",12697,15376,15268.0,108.0,0.707361802,270982
Denver,0.49,2017,3.2,697290,8.8,6.6,4.7,0.7,12.0,28.8,"Dallas-Fort Worth-Arlington, TX Metro Area",111895,148466,145810.0,2656.0,1.821548591,3225805
Washington,0.5281,2017,6.6,684810,9.3,0.0,8.2,1.5,9.7,29.2,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",106309,139712,138819.0,893.0,0.6432837,2696177
Boston,0.5433,2017,6.7,676287,9.0,4.5,4.1,2.1,10.7,30.3,"Boston-Cambridge-Newton, MA-NH Metro Area",93772,118686,117721.0,965.0,0.819734797,2541305
Detroit,0.5071,2017,15.8,664366,11.2,2.5,1.3,0.5,4.3,35.4,"Denver-Aurora-Lakewood, CO Metro Area",59392,73881,72451.0,1430.0,1.973747774,1352729
Memphis,0.5241,2017,8.5,645006,12.5,1.0,2.4,0.3,3.6999999999999997,32.3,"Memphis, TN-MS-AR Metro Area",17408,23961,23980.0,-19.0,-0.079232694,546986
Austin,0.4769,2017,3.5,938330,11.5,4.6,3.5,1.5,9.6,28.9,"Austin-Round Rock, TX Metro Area",37466,47162,46165.0,997.0,2.159644753,842468
Seattle,0.4745,2017,4.0,716870,13.2,2.2,5.2,1.6,9.0,28.1,"Seattle-Tacoma-Bellevue, WA Metro Area",75437,93892,92528.0,1364.0,1.474148366,1662387
Milwaukee,0.4697,2017,6.2,587109,13.1,1.7,2.2,0.6,4.5,31.5,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",30329,40316,39572.0,744.0,1.880117255,880353
Fresno,0.4757,2018,9.0,522717,11.8,2.7,1.0,0.4,4.1000000000000005,35.6,"Fresno, CA Metro Area",12876,15569,15376.0,193.0,1.255202914,277037
Denver,0.492,2018,3.6,706987,7.6,5.8,4.9,1.0,11.7,28.9,"Dallas-Fort Worth-Arlington, TX Metro Area",114164,150524,148466.0,2058.0,1.386175959,3282155
Washington,0.5243,2018,7.5,693798,9.9,0.0,6.9,1.4,8.3,28.5,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",107213,140307,139712.0,595.0,0.425876088,2755318
Boston,0.531,2018,6.9,688679,7.9,4.2,4.8,2.0,11.0,30.1,"Boston-Cambridge-Newton, MA-NH Metro Area",94339,119093,118686.0,407.0,0.342921659,2603270
Detroit,0.5013,2018,13.1,662750,8.4,2.2,1.0,0.2,3.4000000000000004,33.3,"Denver-Aurora-Lakewood, CO Metro Area",60413,74814,73881.0,933.0,1.262841597,1385444
Memphis,0.5261,2018,9.6,640895,10.6,0.4,2.5,0.4,3.3,35.0,"Memphis, TN-MS-AR Metro Area",17485,23994,23961.0,33.0,0.137723801,553496
Austin,0.4864,2018,3.8,953463,12.7,5.1,3.1,0.8,9.0,29.6,"Austin-Round Rock, TX Metro Area",38676,48549,47162.0,1387.0,2.940927018,881821
Seattle,0.4889,2018,3.8,737289,14.1,2.1,6.3,1.7,10.1,27.8,"Seattle-Tacoma-Bellevue, WA Metro Area",76852,95160,93892.0,1268.0,1.350487794,1709427
Milwaukee,0.4754,2018,5.3,584202,12.2,1.9,1.9,0.7,4.5,31.2,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",30845,40788,40316.0,472.0,1.170751067,892028
Fresno,0.4653,2019,8.2,525068,9.8,2.2,0.9,0.2,3.3000000000000003,34.4,"Fresno, CA Metro Area",13090,15800,15569.0,231.0,1.483717644,284901
Denver,0.4813,2019,3.0,719506,8.2,4.9,5.1,0.7,10.7,28.6,"Dallas-Fort Worth-Arlington, TX Metro Area",116440,153430,150524.0,2906.0,1.930589142,3367719
Washington,0.5115,2019,6.3,697556,9.3,0.0,8.4,1.4,9.8,27.1,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",107981,141348,140307.0,1041.0,0.74194445,2796096
Boston,0.5334,2019,4.4,687036,8.6,4.4,4.0,1.6,10.0,29.5,"Boston-Cambridge-Newton, MA-NH Metro Area",95123,120280,119093.0,1187.0,0.996700058,2642698
Detroit,0.5137,2019,11.2,661408,10.8,2.3,0.9,0.4,3.5999999999999996,33.1,"Denver-Aurora-Lakewood, CO Metro Area",61176,75831,74814.0,1017.0,1.359371241,1380251
Memphis,0.5205,2019,7.5,643396,11.1,0.8,2.3,0.2,3.3,33.0,"Memphis, TN-MS-AR Metro Area",17408,24072,23994.0,78.0,0.32508127,567332
Austin,0.4836,2019,3.4,967577,13.1,4.5,3.2,1.4,9.1,28.2,"Austin-Round Rock, TX Metro Area",39866,49967,48549.0,1418.0,2.920760469,906614
Seattle,0.4793,2019,3.6,747296,15.2,1.8,4.9,1.5,8.2,27.4,"Seattle-Tacoma-Bellevue, WA Metro Area",77465,96003,95160.0,843.0,0.885876419,1745014
Milwaukee,0.4556,2019,5.3,581896,10.6,1.8,2.2,0.5,4.5,29.8,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",31265,41537,40788.0,749.0,1.836324409,915411
